administrative_division_code,secondary_medical_area_code,secondary_medical_area_name
12217,1203,東葛北部
12218,1206,山武長生夷隅
12219,1209,市原
12220,1203,東葛北部
12221,1202,東葛南部
12222,1203,東葛北部
12223,1207,安房
12224,1202,東葛南部
12225,1208,君津
12226,1208,君津
12227,1202,東葛南部
12228,1204,印旛
12229,1208,君津
12230,1204,印旛
12231,1204,印旛
12232,1204,印旛
12233,1204,印旛
12234,1207,安房
12235,1205,香取海匝
12236,1205,香取海匝
12237,1206,山武長生夷隅
12238,1206,山武長生夷隅
12239,1206,山武長生夷隅
12322,1204,印旛
12329,1204,印旛
12342,1205,香取海匝
12347,1205,香取海匝
12349,1205,香取海匝
12403,1206,山武長生夷隅
12409,1206,山武長生夷隅
12410,1206,山武長生夷隅
12421,1206,山武長生夷隅
12422,1206,山武長生夷隅
12423,1206,山武長生夷隅
12424,1206,山武長生夷隅
12426,1206,山武長生夷隅
12427,1206,山武長生夷隅
12441,1206,山武長生夷隅
12443,1206,山武長生夷隅
12463,1207,安房
13101,1301,区中央部
13102,1301,区中央部
13103,1301,区中央部
13104,1304,区西部
13105,1301,区中央部
13106,1301,区中央部
13107,1307,区東部
13108,1307,区東部
13109,1302,区南部
13110,1303,区西南部
13111,1302,区南部
13112,1303,区西南部
13113,1303,区西南部
13114,1304,区西部
13115,1304,区西部
13116,1305,区西北部
13117,1305,区西北部
13118,1306,区東北部
13119,1305,区西北部
13120,1305,区西北部
13121,1306,区東北部
13122,1306,区東北部
13123,1307,区東部
13201,1309,南多摩
13202,1310,北多摩西部
13203,1311,北多摩南部
13204,1311,北多摩南部
13205,1308,西多摩
13206,1311,北多摩南部
13207,1310,北多摩西部
13208,1311,北多摩南部
13209,1309,南多摩
13210,1311,北多摩南部
13211,1312,北多摩北部
13212,1309,南多摩
13213,1312,北多摩北部
13214,1310,北多摩西部
13215,1310,北多摩西部
13218,1308,西多摩
13219,1311,北多摩南部
13220,1310,北多摩西部
13221,1312,北多摩北部
13222,1312,北多摩北部
13223,1310,北多摩西部
13224,1309,南多摩
13225,1309,南多摩
13227,1308,西多摩
13228,1308,西多摩
13229,1312,北多摩北部
13303,1308,西多摩
13305,1308,西多摩
13307,1308,西多摩
13308,1308,西多摩
13361,1313,島しょ
13362,1313,島しょ
13363,1313,島しょ
13364,1313,島しょ
13381,1313,島しょ
13382,1313,島しょ
13401,1313,島しょ
13402,1313,島しょ
13421,1313,島しょ
14101,1412,横浜
14102,1412,横浜
14103,1412,横浜
14104,1412,横浜
14105,1412,横浜
14106,1412,横浜
14107,1412,横浜
14108,1412,横浜
14109,1412,横浜
14110,1412,横浜
14111,1412,横浜
14112,1412,横浜
14113,1412,横浜
14114,1412,横浜
14115,1412,横浜
14116,1412,横浜
14117,1412,横浜
14118,1412,横浜
14131,1405,川崎南部
14132,1405,川崎南部
14133,1405,川崎南部
14134,1404,川崎北部
14135,1404,川崎北部
14136,1404,川崎北部
14137,1404,川崎北部
14151,1410,相模原
14152,1410,相模原
14153,1410,相模原
14201,1406,横須賀・三浦
14203,1408,湘南西部
14204,1406,横須賀・三浦
14205,1407,湘南東部
14206,1411,県西
14207,1407,湘南東部
14208,1406,横須賀・三浦
14210,1406,横須賀・三浦
14211,1408,湘南西部
14212,1409,県央
14213,1409,県央
14214,1408,湘南西部
14215,1409,県央
14216,1409,県央
14217,1411,県西
14218,1409,県央
14301,1406,横須賀・三浦
14321,1407,湘南東部
14341,1408,湘南西部
14342,1408,湘南西部
14361,1411,県西
14362,1411,県西
14363,1411,県西
14364,1411,県西
14366,1411,県西
14382,1411,県西
14383,1411,県西
14384,1411,県西
14401,1409,県央
14402,1409,県央
15101,1502,新潟
15102,1502,新潟
15103,1502,新潟
15104,1502,新潟
15105,1502,新潟
15106,1502,新潟
15107,1502,新潟
15108,1502,新潟
15202,1504,中越
15204,1503,県央
15205,1504,中越
15206,1501,下越
15208,1504,中越
15209,1503,県央
15210,1505,魚沼
15211,1504,中越
15212,1501,下越
15213,1503,県央
15216,1506,上越
15217,1506,上越
15218,1502,新潟
15222,1506,上越
15223,1502,新潟
15224,1507,佐渡
15225,1505,魚沼
15226,1505,魚沼
15227,1501,下越
15307,1501,下越
15342,1503,県央
15361,1503,県央
15385,1502,新潟
15405,1504,中越
15461,1505,魚沼
15482,1505,魚沼
15504,1504,中越
15581,1501,下越
15586,1501,下越
16201,1602,富山
16202,1603,高岡
16204,1601,新川
16205,1603,高岡
16206,1602,富山
16207,1601,新川
16208,1604,砺波
16209,1604,砺波
16210,1604,砺波
16211,1603,高岡
16321,1602,富山
16322,1602,富山
16323,1602,富山
16342,1601,新川
16343,1601,新川
17201,1702,石川中央
17202,1703,能登中部
17203,1701,南加賀
17204,1704,能登北部
17205,1704,能登北部
17206,1701,南加賀
17207,1703,能登中部
17209,1702,石川中央
17210,1702,石川中央
17211,1701,南加賀
17212,1702,石川中央
17324,1701,南加賀
17361,1702,石川中央
17365,1702,石川中央
17384,1703,能登中部
17386,1703,能登中部
17407,1703,能登中部
17461,1704,能登北部
17463,1704,能登北部
18201,1801,福井・坂井
18202,1804,嶺南
18204,1804,嶺南
18205,1802,奥越
18206,1802,奥越
18207,1803,丹南
18208,1801,福井・坂井
18209,1803,丹南
18210,1801,福井・坂井
18322,1801,福井・坂井
18382,1803,丹南
18404,1803,丹南
18423,1803,丹南
18442,1804,嶺南
18481,1804,嶺南
18483,1804,嶺南
18501,1804,嶺南
19201,1901,中北
19202,1904,富士・東部
19204,1904,富士・東部
19205,1902,峡東
19206,1904,富士・東部
19207,1901,中北
19208,1901,中北
19209,1901,中北
19210,1901,中北
19211,1902,峡東
19212,1904,富士・東部
19213,1902,峡東
19214,1901,中北
19346,1903,峡南
19364,1903,峡南
19365,1903,峡南
19366,1903,峡南
19368,1903,峡南
19384,1901,中北
19422,1904,富士・東部
19423,1904,富士・東部
19424,1904,富士・東部
19425,1904,富士・東部
19429,1904,富士・東部
19430,1904,富士・東部
19442,1904,富士・東部
19443,1904,富士・東部
20201,2009,長野
20202,2007,松本
20203,2002,上小
20204,2003,諏訪
20205,2005,飯伊
20206,2003,諏訪
20207,2009,長野
20208,2001,佐久
20209,2004,上伊那
20210,2004,上伊那
20211,2010,北信
20212,2008,大北
20213,2010,北信
20214,2003,諏訪
20215,2007,松本
20217,2001,佐久
20218,2009,長野
20219,2002,上小
20220,2007,松本
20303,2001,佐久
20304,2001,佐久
20305,2001,佐久
20306,2001,佐久
20307,2001,佐久
20309,2001,佐久
20321,2001,佐久
20323,2001,佐久
20324,2001,佐久
20349,2002,上小
20350,2002,上小
20361,2003,諏訪
20362,2003,諏訪
20363,2003,諏訪
20382,2004,上伊那
20383,2004,上伊那
20384,2004,上伊那
20385,2004,上伊那
20386,2004,上伊那
20388,2004,上伊那
20402,2005,飯伊
20403,2005,飯伊
20404,2005,飯伊
20407,2005,飯伊
20409,2005,飯伊
20410,2005,飯伊
20411,2005,飯伊
20412,2005,飯伊
20413,2005,飯伊
20414,2005,飯伊
20415,2005,飯伊
20416,2005,飯伊
20417,2005,飯伊
20422,2006,木曽
20423,2006,木曽
20425,2006,木曽
20429,2006,木曽
20430,2006,木曽
20432,2006,木曽
20446,2007,松本
20448,2007,松本
20450,2007,松本
20451,2007,松本
20452,2007,松本
20481,2008,大北
20482,2008,大北
20485,2008,大北
20486,2008,大北
20521,2009,長野
20541,2009,長野
20543,2009,長野
20561,2010,北信
20562,2010,北信
20563,2010,北信
20583,2009,長野
20588,2009,長野
20590,2009,長野
20602,2010,北信
21201,2101,岐阜
21202,2102,西濃
21203,2105,飛騨
21204,2104,東濃
21205,2103,中濃
21206,2104,東濃
21207,2103,中濃
21208,2104,東濃
21209,2101,岐阜
21210,2104,東濃
21211,2103,中濃
21212,2104,東濃
21213,2101,岐阜
21214,2103,中濃
21215,2101,岐阜
21216,2101,岐阜
21217,2105,飛騨
21218,2101,岐阜
21219,2103,中濃
21220,2105,飛騨
21221,2102,西濃
21302,2101,岐阜
21303,2101,岐阜
21341,2102,西濃
21361,2102,西濃
21362,2102,西濃
21381,2102,西濃
21382,2102,西濃
21383,2102,西濃
21401,2102,西濃
21403,2102,西濃
21404,2102,西濃
21421,2101,岐阜
21501,2103,中濃
21502,2103,中濃
21503,2103,中濃
21504,2103,中濃
21505,2103,中濃
21506,2103,中濃
21507,2103,中濃
21521,2103,中濃
21604,2105,飛騨
22101,2205,静岡
22102,2205,静岡
22103,2205,静岡
22138,2208,西部
22139,2208,西部
22140,2208,西部
22203,2203,駿東田方
22205,2202,熱海伊東
22206,2203,駿東田方
22207,2204,富士
22208,2202,熱海伊東
22209,2206,志太榛原
22210,2204,富士
22211,2207,中東遠
