administrative_division_code,municipality_or_ward_name,secondary_medical_area_code,secondary_medical_area_name,defined_in_plan_flag
24212,熊野市,2404,東紀州,1
24214,いなべ市,2401,北勢,1
24215,志摩市,2403,南勢志摩,1
24216,伊賀市,2402,中勢伊賀,1
24303,木曽岬町,2401,北勢,1
24324,東員町,2401,北勢,1
24341,菰野町,2401,北勢,1
24343,朝日町,2401,北勢,1
24344,川越町,2401,北勢,1
24441,多気町,2403,南勢志摩,1
24442,明和町,2403,南勢志摩,1
24443,大台町,2403,南勢志摩,1
24461,玉城町,2403,南勢志摩,1
24470,度会町,2403,南勢志摩,1
24471,大紀町,2403,南勢志摩,1
24472,南伊勢町,2403,南勢志摩,1
24543,紀北町,2404,東紀州,1
24561,御浜町,2404,東紀州,1
24562,紀宝町,2404,東紀州,1
25201,大津市,2501,大津,1
25202,彦根市,2505,湖東,1
25203,長浜市,2506,湖北,1
25204,近江八幡市,2504,東近江,1
25206,草津市,2502,湖南,1
25207,守山市,2502,湖南,1
25208,栗東市,2502,湖南,1
25209,甲賀市,2503,甲賀,1
25210,野洲市,2502,湖南,1
25211,湖南市,2503,甲賀,1
25212,高島市,2507,湖西,1
25213,東近江市,2504,東近江,1
25214,米原市,2506,湖北,1
25383,日野町,2504,東近江,1
25384,竜王町,2504,東近江,1
25425,愛荘町,2505,湖東,1
25441,豊郷町,2505,湖東,1
25442,甲良町,2505,湖東,1
25443,多賀町,2505,湖東,1
26101,北区,2604,京都・乙訓,2
26102,上京区,2604,京都・乙訓,2
26103,左京区,2604,京都・乙訓,2
26104,中京区,2604,京都・乙訓,2
26105,東山区,2604,京都・乙訓,2
26106,下京区,2604,京都・乙訓,2
26107,南区,2604,京都・乙訓,2
26108,右京区,2604,京都・乙訓,2
26109,伏見区,2604,京都・乙訓,2
26110,山科区,2604,京都・乙訓,2
26111,西京区,2604,京都・乙訓,2
26201,福知山市,2602,中丹,2
26202,舞鶴市,2602,中丹,2
26203,綾部市,2602,中丹,2
26204,宇治市,2605,山城北,2
26205,宮津市,2601,丹後,2
26206,亀岡市,2603,南丹,2
26207,城陽市,2605,山城北,2
26208,向日市,2604,京都・乙訓,2
26209,長岡京市,2604,京都・乙訓,2
26210,八幡市,2605,山城北,2
26211,京田辺市,2605,山城北,2
26212,京丹後市,2601,丹後,2
26213,南丹市,2603,南丹,2
26214,木津川市,2606,山城南,2
26303,大山崎町,2604,京都・乙訓,2
26322,久御山町,2605,山城北,2
26343,井手町,2605,山城北,2
26344,宇治田原町,2605,山城北,2
26364,笠置町,2606,山城南,2
26365,和束町,2606,山城南,2
26366,精華町,2606,山城南,2
26367,南山城村,2606,山城南,2
26407,京丹波町,2603,南丹,2
26463,伊根町,2601,丹後,2
26465,与謝野町,2601,丹後,2
27102,都島区,2708,大阪市,1
27103,福島区,2708,大阪市,1
27104,此花区,2708,大阪市,1
27106,西区,2708,大阪市,1
27107,港区,2708,大阪市,1
27108,大正区,2708,大阪市,1
27109,天王寺区,2708,大阪市,1
27111,浪速区,2708,大阪市,1
27113,西淀川区,2708,大阪市,1
27114,東淀川区,2708,大阪市,1
27115,東成区,2708,大阪市,1
27116,生野区,2708,大阪市,1
27117,旭区,2708,大阪市,1
