administrative_division_code,municipality_or_ward_name,secondary_medical_area_code,secondary_medical_area_name,defined_in_plan_flag
43348,美里町,4302,宇城,1
43364,玉東町,4303,有明,1
43367,南関町,4303,有明,1
43368,長洲町,4303,有明,1
43369,和水町,4303,有明,1
43403,大津町,4305,菊池,1
43404,菊陽町,4305,菊池,1
43423,南小国町,4306,阿蘇,1
43424,小国町,4306,阿蘇,1
43425,産山村,4306,阿蘇,1
43428,高森町,4306,阿蘇,1
43432,西原村,4306,阿蘇,1
43433,南阿蘇村,4306,阿蘇,1
43441,御船町,4312,熊本・上益城,1
43442,嘉島町,4312,熊本・上益城,1
43443,益城町,4312,熊本・上益城,1
43444,甲佐町,4312,熊本・上益城,1
43447,山都町,4312,熊本・上益城,1
43468,氷川町,4308,八代,1
43482,芦北町,4309,芦北,1
43484,津奈木町,4309,芦北,1
43501,錦町,4310,球磨,1
43505,多良木町,4310,球磨,1
43506,湯前町,4310,球磨,1
43507,水上村,4310,球磨,1
43510,相良村,4310,球磨,1
