GA_total,GA_weeks,GA_days,L,M,S,p3,p10,p50,p90,p97
253,36,1,0.895,2378.655,0.132,1797,1980,2379,2784,2976
254,36,2,0.889,2414.416,0.131,1829,2013,2414,2823,3016
255,36,3,0.885,2432.256,0.13,1845,2030,2432,2842,3036
256,36,4,0.877,2467.833,0.129,1878,2064,2468,2880,3076
257,36,5,0.873,2485.56,0.129,1894,2080,2486,2899,3095
258,36,6,0.863,2520.862,0.127,1927,2114,2521,2937,3134
259,37,0,0.857,2538.419,0.127,1944,2131,2538,2956,3154
260,37,1,0.852,2555.903,0.126,1961,2148,2556,2974,3173
261,37,2,0.84,2590.626,0.125,1994,2181,2591,3011,3210
262,37,3,0.833,2607.854,0.124,2011,2198,2608,3029,3229
263,37,4,0.82,2642.004,0.123,2044,2232,2642,3064,3266
264,37,5,0.813,2658.908,0.122,2061,2248,2659,3082,3284
265,37,6,0.798,2692.326,0.121,2094,2281,2692,3117,3319
266,38,0,0.791,2708.82,0.12,2110,2298,2709,3134,3337
267,38,1,0.783,2725.156,0.12,2127,2314,2725,3150,3354
268,38,2,0.768,2757.313,0.119,2159,2346,2757,3183,3388
269,38,3,0.76,2773.124,0.118,2175,2362,2773,3200,3404
270,38,4,0.745,2804.191,0.117,2206,2393,2804,3231,3436
271,38,5,0.737,2819.438,0.116,2222,2408,2819,3247,3452
272,38,6,0.722,2849.331,0.115,2252,2438,2849,3278,3483
273,39,0,0.714,2863.961,0.114,2267,2453,2864,3292,3498
274,39,1,0.707,2878.374,0.114,2282,2468,2878,3307,3513
275,39,2,0.692,2906.536,0.113,2311,2496,2907,3336,3542
276,39,3,0.685,2920.286,0.112,2325,2510,2920,3350,3557
277,39,4,0.671,2947.132,0.111,2352,2537,2947,3377,3584
278,39,5,0.664,2960.242,0.111,2366,2550,2960,3390,3598
279,39,6,0.65,2985.861,0.11,2392,2576,2986,3416,3624
280,40,0,0.644,2998.377,0.109,2405,2589,2998,3429,3637
281,40,1,0.637,3010.707,0.109,2418,2601,3011,3441,3650
282,40,2,0.625,3034.841,0.108,2442,2626,3035,3466,3674
283,40,3,0.619,3046.669,0.108,2454,2638,3047,3478,3687
284,40,4,0.608,3069.911,0.107,2478,2661,3070,3501,3710
285,40,5,0.602,3081.355,0.106,2490,2673,3081,3513,3722
286,40,6,0.592,3103.976,0.106,2513,2696,3104,3535,3745
287,41,0,0.586,3115.188,0.105,2524,2707,3115,3547,3756
288,41,1,0.581,3126.352,0.105,2536,2718,3126,3558,3768
289,41,2,0.571,3148.575,0.104,2559,2741,3149,3580,3790
290,41,3,0.566,3159.651,0.104,2570,2752,3160,3591,3801
291,41,4,0.556,3181.759,0.103,2593,2775,3182,3614,3824
292,41,5,0.552,3192.798,0.103,2604,2786,3193,3625,3835
293,41,6,0.542,3214.858,0.102,2627,2808,3215,3647,3857
