GA_total,GA_weeks,GA_days,L,M,S,p3,p10,p50,p90,p97
253,36,1,0.96,2548.381,0.129,1935,2130,2548,2970,3167
254,36,2,0.949,2588.876,0.128,1972,2167,2589,3014,3214
255,36,3,0.943,2609.115,0.127,1990,2186,2609,3036,3237
256,36,4,0.93,2649.52,0.126,2027,2224,2650,3080,3283
257,36,5,0.922,2669.657,0.126,2045,2243,2670,3102,3306
258,36,6,0.906,2709.721,0.125,2083,2281,2710,3145,3351
259,37,0,0.897,2729.612,0.124,2101,2300,2730,3167,3373
260,37,1,0.887,2749.383,0.123,2120,2318,2749,3188,3396
261,37,2,0.867,2788.491,0.122,2157,2356,2788,3230,3439
262,37,3,0.857,2807.79,0.122,2176,2375,2808,3251,3461
263,37,4,0.836,2845.809,0.121,2213,2412,2846,3291,3503
264,37,5,0.825,2864.505,0.12,2231,2430,2865,3311,3524
265,37,6,0.803,2901.218,0.119,2267,2466,2901,3350,3564
266,38,0,0.792,2919.219,0.118,2285,2483,2919,3369,3584
267,38,1,0.78,2936.973,0.118,2303,2501,2937,3388,3603
268,38,2,0.758,2971.713,0.117,2337,2535,2972,3424,3641
269,38,3,0.747,2988.69,0.116,2354,2552,2989,3442,3659
270,38,4,0.726,3021.826,0.115,2388,2585,3022,3477,3695
271,38,5,0.716,3037.982,0.115,2404,2601,3038,3493,3712
272,38,6,0.695,3069.47,0.114,2436,2633,3069,3526,3746
273,39,0,0.686,3084.809,0.113,2451,2648,3085,3542,3762
274,39,1,0.676,3099.885,0.113,2467,2663,3100,3557,3778
275,39,2,0.658,3129.283,0.112,2496,2693,3129,3588,3809
276,39,3,0.649,3143.631,0.111,2511,2707,3144,3603,3825
277,39,4,0.633,3171.69,0.11,2539,2735,3172,3631,3854
278,39,5,0.625,3185.427,0.11,2553,2749,3185,3646,3869
279,39,6,0.609,3212.352,0.109,2581,2776,3212,3673,3897
280,40,0,0.602,3225.556,0.109,2594,2789,3226,3687,3911
281,40,1,0.595,3238.597,0.108,2607,2802,3239,3700,3924
282,40,2,0.581,3264.219,0.107,2633,2828,3264,3726,3951
283,40,3,0.574,3276.822,0.107,2646,2841,3277,3739,3964
284,40,4,0.561,3301.68,0.106,2671,2866,3302,3764,3990
285,40,5,0.555,3313.961,0.106,2684,2878,3314,3777,4003
286,40,6,0.543,3338.291,0.105,2709,2903,3338,3802,4028
287,41,0,0.537,3350.361,0.105,2721,2915,3350,3814,4040
288,41,1,0.531,3362.379,0.104,2733,2927,3362,3826,4052
289,41,2,0.519,3386.29,0.104,2757,2951,3386,3850,4077
290,41,3,0.514,3398.198,0.103,2770,2963,3398,3862,4089
291,41,4,0.502,3421.954,0.102,2794,2987,3422,3886,4113
292,41,5,0.496,3433.811,0.102,2806,2999,3434,3898,4125
293,41,6,0.485,3457.502,0.101,2830,3023,3458,3922,4149
