GA_total,GA_weeks,GA_days,L,M,S,p3,p10,p50,p90,p97
254,36,2,0.554,2492.515,0.133,1906,2085,2493,2932,3149
255,36,3,0.552,2511.493,0.132,1923,2103,2511,2953,3170
256,36,4,0.549,2549.31,0.131,1957,2138,2549,2993,3212
257,36,5,0.548,2568.129,0.13,1974,2155,2568,3013,3232
258,36,6,0.546,2605.528,0.129,2008,2191,2606,3053,3273
259,37,0,0.545,2624.082,0.129,2025,2208,2624,3073,3293
260,37,1,0.543,2642.52,0.128,2042,2226,2643,3092,3313
261,37,2,0.541,2678.998,0.127,2076,2260,2679,3130,3352
262,37,3,0.541,2697.017,0.126,2093,2278,2697,3149,3371
263,37,4,0.539,2732.567,0.125,2126,2312,2733,3186,3408
264,37,5,0.538,2750.08,0.124,2143,2329,2750,3204,3427
265,37,6,0.536,2784.56,0.123,2176,2362,2785,3239,3462
266,38,0,0.535,2801.525,0.122,2192,2379,2802,3256,3480
267,38,1,0.534,2818.304,0.122,2208,2395,2818,3273,3497
268,38,2,0.532,2851.31,0.12,2240,2427,2851,3307,3531
269,38,3,0.531,2867.542,0.12,2256,2443,2868,3323,3547
270,38,4,0.529,2899.479,0.119,2287,2475,2899,3356,3580
271,38,5,0.528,2915.194,0.118,2303,2490,2915,3372,3596
272,38,6,0.525,2946.153,0.117,2333,2521,2946,3403,3627
273,39,0,0.524,2961.413,0.116,2348,2536,2961,3418,3642
274,39,1,0.523,2976.534,0.116,2363,2551,2977,3433,3657
275,39,2,0.52,3006.372,0.115,2392,2581,3006,3463,3687
276,39,3,0.519,3021.102,0.114,2407,2595,3021,3478,3702
277,39,4,0.517,3050.21,0.113,2436,2624,3050,3507,3731
278,39,5,0.516,3064.594,0.112,2450,2638,3065,3522,3746
279,39,6,0.515,3093.031,0.111,2478,2667,3093,3550,3774
280,40,0,0.514,3107.083,0.111,2492,2681,3107,3564,3788
281,40,1,0.514,3121.024,0.11,2505,2694,3121,3578,3802
282,40,2,0.514,3148.585,0.11,2532,2722,3149,3606,3830
283,40,3,0.514,3162.218,0.109,2546,2735,3162,3619,3843
284,40,4,0.514,3189.226,0.108,2572,2762,3189,3646,3870
285,40,5,0.514,3202.614,0.108,2585,2775,3203,3660,3884
286,40,6,0.515,3229.207,0.107,2612,2801,3229,3686,3910
287,41,0,0.515,3242.431,0.106,2625,2815,3242,3700,3923
288,41,1,0.516,3255.617,0.106,2638,2828,3256,3713,3936
289,41,2,0.517,3281.897,0.105,2663,2854,3282,3739,3962
290,41,3,0.517,3294.999,0.105,2676,2867,3295,3752,3975
291,41,4,0.519,3321.147,0.104,2702,2893,3321,3778,4001
292,41,5,0.519,3334.198,0.104,2715,2906,3334,3791,4014
293,41,6,0.521,3360.271,0.103,2741,2932,3360,3817,4040
