GA_total,GA_weeks,GA_days,L,M,S,p3,p10,p50,p90,p97
253,36,1,1.214,2472.073,0.124,1878,2071,2472,2859,3036
254,36,2,1.2,2508.055,0.124,1910,2104,2508,2899,3079
255,36,3,1.192,2526.011,0.123,1926,2121,2526,2919,3100
256,36,4,1.175,2561.823,0.123,1958,2154,2562,2959,3141
257,36,5,1.166,2579.664,0.122,1974,2170,2580,2979,3162
258,36,6,1.146,2615.18,0.121,2007,2203,2615,3018,3203
259,37,0,1.135,2632.837,0.121,2023,2220,2633,3037,3224
260,37,1,1.125,2650.414,0.121,2040,2236,2650,3056,3244
261,37,2,1.101,2685.289,0.12,2072,2269,2685,3095,3284
262,37,3,1.089,2702.568,0.119,2089,2286,2703,3114,3304
263,37,4,1.064,2736.775,0.119,2122,2319,2737,3151,3343
264,37,5,1.051,2753.688,0.118,2138,2335,2754,3169,3362
265,37,6,1.024,2787.095,0.117,2171,2367,2787,3205,3400
266,38,0,1.01,2803.575,0.117,2187,2383,2804,3223,3419
267,38,1,0.996,2819.897,0.116,2203,2399,2820,3241,3437
268,38,2,0.968,2852.036,0.115,2235,2431,2852,3275,3474
269,38,3,0.954,2867.842,0.115,2251,2446,2868,3292,3491
270,38,4,0.925,2898.892,0.114,2282,2477,2899,3325,3526
271,38,5,0.91,2914.129,0.114,2297,2492,2914,3342,3543
272,38,6,0.881,2944.012,0.113,2327,2522,2944,3374,3577
273,39,0,0.866,2958.655,0.112,2342,2536,2959,3389,3593
274,39,1,0.851,2973.096,0.112,2357,2551,2973,3404,3609
275,39,2,0.823,3001.369,0.111,2386,2579,3001,3435,3641
276,39,3,0.808,3015.204,0.111,2400,2593,3015,3449,3656
277,39,4,0.78,3042.285,0.11,2427,2620,3042,3478,3686
278,39,5,0.766,3055.536,0.11,2441,2633,3056,3492,3701
279,39,6,0.738,3081.48,0.109,2467,2659,3081,3520,3730
280,40,0,0.725,3094.186,0.109,2480,2672,3094,3533,3744
281,40,1,0.711,3106.724,0.108,2493,2684,3107,3546,3758
282,40,2,0.685,3131.347,0.108,2518,2709,3131,3573,3785
283,40,3,0.672,3143.457,0.107,2531,2721,3143,3585,3798
284,40,4,0.646,3167.344,0.107,2555,2745,3167,3611,3825
285,40,5,0.633,3179.148,0.106,2567,2757,3179,3623,3838
286,40,6,0.607,3202.542,0.106,2591,2780,3203,3648,3864
287,41,0,0.595,3214.154,0.105,2603,2792,3214,3660,3876
288,41,1,0.582,3225.724,0.105,2615,2804,3226,3672,3889
289,41,2,0.557,3248.767,0.104,2639,2827,3249,3696,3915
290,41,3,0.544,3260.254,0.104,2650,2838,3260,3709,3927
291,41,4,0.519,3283.183,0.104,2674,2862,3283,3733,3952
292,41,5,0.506,3294.632,0.103,2686,2873,3295,3745,3965
293,41,6,0.481,3317.514,0.103,2709,2896,3318,3769,3990
